,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
52,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",440,"[4, 10, 104, 15, 16, 78, 8, 6, 15]","[76, 46, 0, 14, 7, 4, 85, 4, 11]","[8, 9, 2, 11, 17, 5, 6, 44, 28]","[6, 11, 4, 16, 30, 6, 5, 25, 21]","[94, 76, 110, 56, 70, 93, 104, 79, 75]",306,256,247,130,124,1,UK
53,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",437,"[3, 17, 105, 15, 19, 76, 3, 9, 9]","[75, 44, 2, 11, 8, 3, 86, 9, 9]","[5, 13, 0, 11, 18, 6, 3, 45, 29]","[7, 17, 3, 24, 20, 10, 3, 30, 10]","[90, 91, 110, 61, 65, 95, 95, 93, 57]",309,256,247,130,124,1,UK
54,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",435,"[9, 11, 105, 13, 14, 76, 2, 7, 19]","[72, 45, 2, 10, 14, 5, 86, 5, 8]","[4, 6, 2, 12, 22, 3, 9, 43, 29]","[8, 13, 2, 22, 15, 9, 11, 23, 21]","[93, 75, 111, 57, 65, 93, 108, 78, 77]",285,256,247,130,124,1,UK
55,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",441,"[8, 13, 105, 17, 9, 76, 1, 13, 14]","[74, 44, 1, 8, 10, 5, 90, 4, 11]","[9, 11, 3, 9, 20, 2, 4, 43, 29]","[8, 13, 3, 21, 21, 10, 3, 27, 18]","[99, 81, 112, 55, 60, 93, 98, 87, 72]",303,256,247,130,124,1,UK
56,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",446,"[7, 7, 105, 16, 20, 82, 3, 6, 10]","[78, 42, 2, 12, 11, 4, 87, 6, 5]","[4, 11, 0, 18, 16, 6, 7, 45, 23]","[11, 16, 5, 16, 20, 7, 5, 29, 15]","[100, 76, 112, 62, 67, 99, 102, 86, 53]",307,256,247,130,124,1,UK
57,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",452,"[9, 9, 106, 15, 17, 80, 4, 6, 10]","[77, 37, 2, 13, 7, 6, 88, 10, 7]","[7, 9, 1, 11, 17, 8, 4, 46, 27]","[8, 8, 3, 17, 31, 9, 5, 24, 19]","[101, 63, 112, 56, 72, 103, 101, 86, 63]",296,256,247,130,124,1,UK
58,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",457,"[4, 5, 107, 26, 15, 82, 3, 6, 8]","[77, 40, 2, 9, 9, 3, 88, 4, 15]","[2, 6, 1, 17, 12, 9, 4, 54, 25]","[10, 16, 2, 18, 20, 6, 7, 27, 18]","[93, 67, 112, 70, 56, 100, 102, 91, 66]",305,256,247,130,124,1,UK
59,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",467,"[7, 5, 108, 18, 17, 83, 2, 7, 9]","[74, 48, 0, 7, 16, 1, 89, 4, 8]","[8, 11, 1, 10, 12, 3, 6, 47, 32]","[9, 14, 2, 26, 14, 3, 4, 31, 21]","[98, 78, 111, 61, 59, 90, 101, 89, 70]",334,256,247,130,124,1,UK
60,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",475,"[9, 4, 108, 8, 14, 87, 7, 7, 12]","[73, 42, 1, 10, 6, 9, 89, 9, 8]","[4, 7, 2, 16, 18, 3, 1, 49, 30]","[7, 12, 4, 14, 20, 4, 5, 30, 28]","[93, 65, 115, 48, 58, 103, 102, 95, 78]",312,256,247,130,124,1,UK
61,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",477,"[3, 10, 108, 16, 12, 87, 5, 4, 11]","[79, 38, 2, 14, 5, 0, 90, 10, 9]","[6, 10, 2, 12, 13, 7, 3, 48, 29]","[6, 16, 2, 20, 27, 6, 3, 30, 14]","[94, 74, 114, 62, 57, 100, 101, 92, 63]",328,256,247,130,124,1,UK
